小区ID,城市,行政区,小区名称,户型分类,户型类型,标准面积,面积区间,户型租金/毛坯,租金/简易装修,租金/精装修,租金/豪华装修,租金/付款方式,更新时间
---,杭州,西湖区,奥克斯缔壹城,4室1厅,---,8,"(0, 10]",1306,1306,1306,1306,押一付三,---
---,杭州,西湖区,文亭公寓,2室1厅,---,11,"(1, 11]",2000,2000,2000,2000,押一付三,---
---,杭州,西湖区,中大文锦苑,4室1厅,---,10,"(1, 11]",2160,2160,2160,2160,押一付三,---
---,杭州,西湖区,华苑公寓,1室2厅,---,70,"(7, 17]",5030,5030,5030,5030,押一付三,---
---,杭州,西湖区,三墩颐景园曲水苑,4室1厅,---,16,"(1, 11]",1333,1333,1333,1333,押一付三,---
---,杭州,西湖区,兰韵天城,4室1厅,---,20,"(2, 12]",1933,1933,1933,1933,押一付三,---
---,杭州,西湖区,南都德迦西区,5室2厅,---,13,"(1, 11]",1493,1493,1493,1493,押一付三,---
---,杭州,西湖区,融创河滨之城二期,4室1厅,---,5,"(0, 10]",1023,1023,1023,1023,押一付三,---
---,杭州,西湖区,星洲花园红树林坊,4室2厅,---,15,"(1, 11]",1390,1390,1390,1390,押一付三,---
---,杭州,西湖区,爱尚里,3室1厅,---,15,"(1, 11]",1623,1623,1623,1623,押一付三,---
---,杭州,西湖区,南都德迦西区,5室2厅,---,12,"(1, 11]",790,790,790,790,押一付三,---
---,杭州,西湖区,惠润家园,7室2厅,---,17,"(1, 11]",890,890,890,890,押一付三,---
---,杭州,西湖区,融创河滨之城二期,5室2厅,---,6,"(0, 10]",1176,1176,1176,1176,押一付三,---
---,杭州,西湖区,古荡新村东区,1室1厅,---,51,"(5, 15]",5230,5230,5230,5230,押一付三,---
---,杭州,西湖区,沁雅花园,1室2厅,---,81,"(8, 18]",4633,4633,4633,4633,押一付三,---
---,杭州,西湖区,紫金西苑,1室1厅,---,120,"(12, 22]",5260,5260,5260,5260,押一付三,---
---,杭州,西湖区,紫金庭园,1室1厅,---,54,"(5, 15]",5030,5030,5030,5030,押一付三,---
---,杭州,西湖区,翠苑一区,1室1厅,---,63,"(6, 16]",5490,5490,5490,5490,押一付三,---
---,杭州,西湖区,E30中心,1室1厅,---,65,"(6, 16]",3360,3360,3360,3360,押一付三,---
---,杭州,西湖区,景瑞申花郡,4室1厅,---,8,"(0, 10]",1293,1293,1293,1293,押一付三,---
---,杭州,西湖区,保俶北路99号,2室1厅,---,19,"(1, 11]",1030,1030,1030,1030,押一付三,---
---,杭州,西湖区,景瑞申花郡,4室1厅,---,11,"(1, 11]",1576,1576,1576,1576,押一付三,---
---,杭州,西湖区,都市水乡水涟苑,4室1厅,---,19,"(1, 11]",1583,1583,1583,1583,押一付三,---
---,杭州,西湖区,新星小区,4室1厅,---,17,"(1, 11]",690,690,690,690,押一付三,---
---,杭州,西湖区,云溪香山,6室2厅,---,11,"(1, 11]",1093,1093,1093,1093,押一付三,---
---,杭州,西湖区,金都花园,1室1厅,---,78,"(7, 17]",5360,5360,5360,5360,押一付三,---
---,杭州,西湖区,惠润家园,4室0厅,---,8,"(0, 10]",260,260,260,260,押一付三,---
---,杭州,西湖区,新世纪花苑,5室2厅,---,20,"(2, 12]",830,830,830,830,押一付三,---
---,杭州,西湖区,十三湾巷,3室1厅,---,13,"(1, 11]",2063,2063,2063,2063,押一付三,---
---,杭州,西湖区,信鸿花园北区,5室1厅,---,15,"(1, 11]",660,660,660,660,押一付三,---
---,杭州,西湖区,湖畔花园风荷苑,6室2厅,---,18,"(1, 11]",1963,1963,1963,1963,押一付三,---
---,杭州,西湖区,金成花园别墅,6室2厅,---,5,"(0, 10]",1930,1930,1930,1930,押一付三,---
---,杭州,西湖区,翠苑一区,1室1厅,---,52,"(5, 15]",5130,5130,5130,5130,押一付三,---
---,杭州,西湖区,十三湾巷,3室1厅,---,13,"(1, 11]",2063,2063,2063,2063,押一付三,---
---,杭州,西湖区,康乐香港城,1室2厅,---,117,"(11, 21]",5290,5290,5290,5290,押一付三,---
---,杭州,西湖区,奥克斯缔壹城,4室2厅,---,8,"(0, 10]",1306,1306,1306,1306,押一付三,---
---,杭州,西湖区,古荡新村西区,1室1厅,---,13,"(1, 11]",4330,4330,4330,4330,押一付三,---
---,杭州,西湖区,嘉绿西苑,1室2厅,---,54,"(5, 15]",3830,3830,3830,3830,押一付三,---
---,杭州,西湖区,西溪花园红柿苑,4室2厅,---,18,"(1, 11]",830,830,830,830,押一付三,---
---,杭州,西湖区,嘉绿景苑西园,1室1厅,---,73,"(7, 17]",4060,4060,4060,4060,押一付三,---
---,杭州,西湖区,金成花园别墅,6室2厅,---,11,"(1, 11]",2290,2290,2290,2290,押一付三,---
---,杭州,西湖区,天悦时代大厦,1室1厅,---,65,"(6, 16]",3730,3730,3730,3730,押一付三,---
---,杭州,西湖区,绿城之江一号,4室1厅,---,6,"(0, 10]",1076,1076,1076,1076,押一付三,---
---,杭州,西湖区,国风美域,4室1厅,---,11,"(1, 11]",1626,1626,1626,1626,押一付三,---
---,杭州,西湖区,莲花港家园,1室2厅,---,78,"(7, 17]",5360,5360,5360,5360,押一付三,---
---,杭州,西湖区,都市水乡水秀苑,4室1厅,---,11,"(1, 11]",1343,1343,1343,1343,押一付三,---
---,杭州,西湖区,科技新村,4室1厅,---,8,"(0, 10]",1636,1636,1636,1636,押一付三,---
---,杭州,西湖区,金成花园别墅,6室2厅,---,13,"(1, 11]",2160,2160,2160,2160,押一付三,---
---,杭州,西湖区,西城美墅,4室1厅,---,12,"(1, 11]",1803,1803,1803,1803,押一付三,---
---,杭州,西湖区,科技新村,4室1厅,---,9,"(0, 10]",1656,1656,1656,1656,押一付三,---
---,杭州,西湖区,佳兆业玖珑山,6室2厅,---,8,"(0, 10]",1076,1076,1076,1076,押一付三,---
---,杭州,西湖区,湖畔莲花港,6室2厅,---,9,"(0, 10]",1776,1776,1776,1776,押一付三,---
---,杭州,西湖区,山水人家美林泉,5室1厅,---,17,"(1, 11]",2006,2006,2006,2006,押一付三,---
---,杭州,西湖区,天目山路323号,4室1厅,---,10,"(1, 11]",1736,1736,1736,1736,押一付三,---
---,杭州,西湖区,物华小区,6室2厅,---,14,"(1, 11]",1536,1536,1536,1536,押一付三,---
---,杭州,西湖区,嘉南公寓小高层,4室1厅,---,13,"(1, 11]",1696,1696,1696,1696,押一付三,---
---,杭州,西湖区,融创河滨之城二期,4室2厅,---,4,"(0, 10]",993,993,993,993,押一付三,---
---,杭州,西湖区,之江家园三区,4室2厅,---,18,"(1, 11]",1376,1376,1376,1376,押一付三,---
---,杭州,西湖区,翠苑四区,2室1厅,---,16,"(1, 11]",2023,2023,2023,2023,押一付三,---
---,杭州,西湖区,翠苑四区,2室1厅,---,5,"(0, 10]",1606,1606,1606,1606,押一付三,---
---,杭州,西湖区,翠苑三区,2室1厅,---,9,"(0, 10]",1776,1776,1776,1776,押一付三,---
---,杭州,西湖区,爱尚里,1室1厅,---,29,"(2, 12]",2593,2593,2593,2593,押一付三,---
---,杭州,西湖区,溪畔花园,4室1厅,---,22,"(2, 12]",1933,1933,1933,1933,押一付三,---
---,杭州,西湖区,南都花园一区,4室1厅,---,8,"(0, 10]",1536,1536,1536,1536,押一付三,---
---,杭州,西湖区,南都花园一区,4室1厅,---,7,"(0, 10]",1506,1506,1506,1506,押一付三,---
---,杭州,西湖区,湖畔花园风荷苑,8室1厅,---,8,"(0, 10]",1476,1476,1476,1476,押一付三,---
---,杭州,西湖区,嘉绿青苑,4室1厅,---,12,"(1, 11]",1976,1976,1976,1976,押一付三,---
---,杭州,西湖区,都市水乡水月苑,3室2厅,---,9,"(0, 10]",1363,1363,1363,1363,押一付三,---
---,杭州,西湖区,秋水苑,4室2厅,---,12,"(1, 11]",1776,1776,1776,1776,押一付三,---
---,杭州,西湖区,雅仕苑,4室1厅,---,10,"(1, 11]",1696,1696,1696,1696,押一付三,---
---,杭州,西湖区,西溪雅苑,3室1厅,---,8,"(0, 10]",1236,1236,1236,1236,押一付三,---
---,杭州,西湖区,雅仕苑,5室2厅,---,14,"(1, 11]",1836,1836,1836,1836,押一付三,---
---,杭州,西湖区,丰盛九玺,1室0厅,---,36,"(3, 13]",2960,2960,2960,2960,押一付三,---
---,杭州,西湖区,紫郡西苑,4室1厅,---,18,"(1, 11]",1793,1793,1793,1793,押一付三,---
---,杭州,西湖区,五洲国际广场,1室1厅,---,33,"(3, 13]",2660,2660,2660,2660,押一付三,---
---,杭州,西湖区,星洲花园万黛兰居,3室1厅,---,18,"(1, 11]",2276,2276,2276,2276,押一付三,---
---,杭州,西湖区,紫荆欣苑,5室1厅,---,14,"(1, 11]",1906,1906,1906,1906,押一付三,---
---,杭州,西湖区,景瑞申花郡,4室1厅,---,12,"(1, 11]",1593,1593,1593,1593,押一付三,---
---,杭州,西湖区,亲亲家园三期,4室1厅,---,10,"(1, 11]",1446,1446,1446,1446,押一付三,---
---,杭州,西湖区,石灰桥新村,1室2厅,---,81,"(8, 18]",4800,4800,4800,4800,押一付三,---
---,杭州,西湖区,信鸿花园北区,4室1厅,---,12,"(1, 11]",1546,1546,1546,1546,押一付三,---
---,杭州,西湖区,长青嘉苑,3室1厅,---,16,"(1, 11]",820,820,820,820,押一付三,---
---,杭州,西湖区,丰盛九玺,1室0厅,---,41,"(4, 14]",2416,2416,2416,2416,押一付三,---
---,杭州,西湖区,中大文锦苑,4室1厅,---,10,"(1, 11]",2006,2006,2006,2006,押一付三,---
---,杭州,西湖区,文三西路39号,4室1厅,---,11,"(1, 11]",1736,1736,1736,1736,押一付三,---
---,杭州,西湖区,紫金庭园,4室2厅,---,14,"(1, 11]",1846,1846,1846,1846,押一付三,---
---,杭州,西湖区,明珠公寓（万塘）,4室1厅,---,13,"(1, 11]",2006,2006,2006,2006,押一付三,---
---,杭州,西湖区,城市心境,5室2厅,---,9,"(0, 10]",1776,1776,1776,1776,押一付三,---
---,杭州,西湖区,颐景园竹苑,4室2厅,---,8,"(0, 10]",1506,1506,1506,1506,押一付三,---
---,杭州,西湖区,翠苑三区,3室1厅,---,17,"(1, 11]",2046,2046,2046,2046,押一付三,---
---,杭州,西湖区,景瑞申花郡,4室1厅,---,11,"(1, 11]",1493,1493,1493,1493,押一付三,---
---,杭州,西湖区,景瑞申花郡,4室0厅,---,17,"(1, 11]",1606,1606,1606,1606,押一付三,---
---,杭州,西湖区,福鼎家园雨露苑,3室1厅,---,11,"(1, 11]",1576,1576,1576,1576,押一付三,---
---,杭州,西湖区,西溪雅苑,3室1厅,---,10,"(1, 11]",976,976,976,976,押一付三,---
---,杭州,西湖区,明珠公寓（万塘）,4室1厅,---,14,"(1, 11]",1846,1846,1846,1846,押一付三,---
---,杭州,西湖区,奥克斯缔壹城,4室1厅,---,9,"(0, 10]",1236,1236,1236,1236,押一付三,---
---,杭州,西湖区,转塘家园,4室1厅,---,15,"(1, 11]",530,530,530,530,押一付三,---
---,杭州,西湖区,方家苑,3室2厅,---,16,"(1, 11]",360,360,360,360,押一付三,---
---,杭州,西湖区,中旅紫金名门,4室1厅,---,6,"(0, 10]",1560,1560,1560,1560,押一付三,---
---,杭州,西湖区,都市水乡水映苑,3室2厅,---,15,"(1, 11]",1576,1576,1576,1576,押一付三,---
---,杭州,西湖区,融创河滨之城二期,4室1厅,---,8,"(0, 10]",1246,1246,1246,1246,押一付三,---
---,杭州,西湖区,协安紫郡,4室2厅,---,12,"(1, 11]",1706,1706,1706,1706,押一付三,---
---,杭州,西湖区,亲亲家园三期,5室2厅,---,12,"(1, 11]",1476,1476,1476,1476,押一付三,---
---,杭州,西湖区,高教新村,4室1厅,---,11,"(1, 11]",1606,1606,1606,1606,押一付三,---
---,杭州,西湖区,丽晶湾,5室1厅,---,13,"(1, 11]",1636,1636,1636,1636,押一付三,---
---,杭州,西湖区,西溪路小区,1室1厅,---,48,"(4, 14]",4460,4460,4460,4460,押一付三,---
---,杭州,西湖区,溪畔花园,2室1厅,---,8,"(0, 10]",1706,1706,1706,1706,押一付三,---
---,杭州,西湖区,都市水乡水映苑,4室1厅,---,14,"(1, 11]",1633,1633,1633,1633,押一付三,---
---,杭州,西湖区,翠苑三区,3室1厅,---,13,"(1, 11]",1846,1846,1846,1846,押一付三,---
---,杭州,西湖区,秀月家园南区,3室1厅,---,11,"(1, 11]",1636,1636,1636,1636,押一付三,---
---,杭州,西湖区,之江家园三区,3室2厅,---,14,"(1, 11]",1476,1476,1476,1476,押一付三,---
---,杭州,西湖区,滨江金色蓝庭,4室1厅,---,8,"(0, 10]",1636,1636,1636,1636,押一付三,---
---,杭州,西湖区,翠苑二区,2室1厅,---,12,"(1, 11]",2046,2046,2046,2046,押一付三,---
---,杭州,西湖区,德雅花园,5室2厅,---,14,"(1, 11]",1763,1763,1763,1763,押一付三,---
---,杭州,西湖区,翠苑一区,1室1厅,---,51,"(5, 15]",3700,3700,3700,3700,押一付三,---
---,杭州,西湖区,都市水乡水映苑,3室1厅,---,13,"(1, 11]",1523,1523,1523,1523,押一付三,---
---,杭州,西湖区,翠苑东二区,4室1厅,---,16,"(1, 11]",1776,1776,1776,1776,押一付三,---
---,杭州,西湖区,三墩新天地商业中心,1室1厅,---,44,"(4, 14]",2763,2763,2763,2763,押一付三,---
---,杭州,西湖区,福鼎家园雨露苑,4室2厅,---,7,"(0, 10]",1276,1276,1276,1276,押一付三,---
---,杭州,西湖区,金色蓝庭,1室0厅,---,38,"(3, 13]",2590,2590,2590,2590,押一付三,---
---,杭州,西湖区,翠苑二区,1室1厅,---,56,"(5, 15]",4800,4800,4800,4800,押一付三,---
---,杭州,西湖区,亲亲家园二期,4室2厅,---,4,"(0, 10]",2490,2490,2490,2490,押一付三,---
---,杭州,西湖区,西溪晴雪,5室1厅,---,13,"(1, 11]",1860,1860,1860,1860,押一付三,---
---,杭州,西湖区,方家苑,4室1厅,---,8,"(0, 10]",946,946,946,946,押一付三,---
---,杭州,西湖区,景城花园,5室2厅,---,10,"(1, 11]",2093,2093,2093,2093,押一付三,---
---,杭州,西湖区,中海金溪园,4室1厅,---,5,"(0, 10]",1046,1046,1046,1046,押一付三,---
---,杭州,西湖区,莲花港家园,1室2厅,---,11,"(1, 11]",5600,5600,5600,5600,押一付三,---
---,杭州,西湖区,金田花园,2室1厅,---,65,"(6, 16]",3700,3700,3700,3700,押一付三,---
---,杭州,西湖区,阳光郡,4室2厅,---,7,"(0, 10]",1346,1346,1346,1346,押一付三,---
---,杭州,西湖区,翠苑东二区,4室1厅,---,13,"(1, 11]",1616,1616,1616,1616,押一付三,---
---,杭州,西湖区,亲亲家园一期,7室3厅,---,8,"(0, 10]",1146,1146,1146,1146,押一付三,---
---,杭州,西湖区,亲亲家园二期,5室2厅,---,7,"(0, 10]",1546,1546,1546,1546,押一付三,---
---,杭州,西湖区,紫金庭园,4室1厅,---,9,"(0, 10]",1616,1616,1616,1616,押一付三,---
---,杭州,西湖区,友谊新村,3室1厅,---,7,"(0, 10]",1606,1606,1606,1606,押一付三,---
---,杭州,西湖区,长青嘉苑,4室2厅,---,23,"(2, 12]",960,960,960,960,押一付三,---
---,杭州,西湖区,富越香溪,3室2厅,---,15,"(1, 11]",900,900,900,900,押一付三,---
---,杭州,西湖区,亲亲家园一期,4室1厅,---,13,"(1, 11]",1653,1653,1653,1653,押一付三,---
---,杭州,西湖区,景瑞申花郡,4室2厅,---,12,"(1, 11]",1563,1563,1563,1563,押一付三,---
---,杭州,西湖区,融科瑷骊山,7室2厅,---,10,"(1, 11]",1306,1306,1306,1306,押一付三,---
---,杭州,西湖区,石灰桥新村,4室1厅,---,10,"(1, 11]",1806,1806,1806,1806,押一付三,---
---,杭州,西湖区,协安紫郡,5室1厅,---,14,"(1, 11]",1606,1606,1606,1606,押一付三,---
---,杭州,西湖区,马塍路11号,3室1厅,---,7,"(0, 10]",1836,1836,1836,1836,押一付三,---
---,杭州,西湖区,都市水乡水秀苑,4室1厅,---,8,"(0, 10]",1223,1223,1223,1223,押一付三,---
---,杭州,西湖区,融创河滨之城二期,4室1厅,---,8,"(0, 10]",1153,1153,1153,1153,押一付三,---
---,杭州,西湖区,金海公寓,5室1厅,---,13,"(1, 11]",1676,1676,1676,1676,押一付三,---
---,杭州,西湖区,之江家园三区,4室1厅,---,10,"(1, 11]",1146,1146,1146,1146,押一付三,---
---,杭州,西湖区,西溪路536号,1室1厅,---,42,"(4, 14]",2560,2560,2560,2560,押一付三,---
---,杭州,西湖区,紫金公寓,3室1厅,---,16,"(1, 11]",1706,1706,1706,1706,押一付三,---
---,杭州,西湖区,美都新村,4室1厅,---,6,"(0, 10]",1576,1576,1576,1576,押一付三,---
---,杭州,西湖区,文三西路39号,4室1厅,---,8,"(0, 10]",1536,1536,1536,1536,押一付三,---
---,杭州,西湖区,九莲新村,2室1厅,---,53,"(5, 15]",3360,3360,3360,3360,押一付三,---
---,杭州,西湖区,科技新村,4室1厅,---,11,"(1, 11]",1606,1606,1606,1606,押一付三,---
---,杭州,西湖区,西荡苑桃苑,4室1厅,---,6,"(0, 10]",1223,1223,1223,1223,押一付三,---
---,杭州,西湖区,嘉绿景苑东园,4室1厅,---,6,"(0, 10]",1406,1406,1406,1406,押一付三,---
---,杭州,西湖区,国风美域,4室1厅,---,11,"(1, 11]",1606,1606,1606,1606,押一付三,---
---,杭州,西湖区,西荡苑梨苑,4室1厅,---,10,"(1, 11]",1636,1636,1636,1636,押一付三,---
---,杭州,西湖区,翠苑二区北区,1室1厅,---,72,"(7, 17]",3690,3690,3690,3690,押一付三,---
---,杭州,西湖区,物华小区,1室2厅,---,78,"(7, 17]",5230,5230,5230,5230,押一付三,---
---,杭州,西湖区,建国南苑南三区,1室0厅,---,29,"(2, 12]",1630,1630,1630,1630,押一付三,---
---,杭州,西湖区,金田花园,1室1厅,---,68,"(6, 16]",3460,3460,3460,3460,押一付三,---
---,杭州,西湖区,康乐新村,1室2厅,---,53,"(5, 15]",3990,3990,3990,3990,押一付三,---
---,杭州,西湖区,沈塘新村,1室2厅,---,41,"(4, 14]",3500,3500,3500,3500,押一付三,---
---,杭州,西湖区,融创河滨之城二期,1室1厅,---,89,"(8, 18]",4760,4760,4760,4760,押一付三,---
---,杭州,西湖区,星洲花园万黛兰居,5室2厅,---,18,"(1, 11]",1876,1876,1876,1876,押一付三,---
---,杭州,西湖区,星洲花园万黛兰居,5室2厅,---,13,"(1, 11]",1676,1676,1676,1676,押一付三,---
---,杭州,西湖区,紫金公寓,1室2厅,---,86,"(8, 18]",5330,5330,5330,5330,押一付三,---
---,杭州,西湖区,西苑小区,4室2厅,---,15,"(1, 11]",2090,2090,2090,2090,押一付三,---
---,杭州,西湖区,西苑小区,4室2厅,---,12,"(1, 11]",2000,2000,2000,2000,押一付三,---
---,杭州,西湖区,西溪雅苑,3室2厅,---,13,"(1, 11]",1376,1376,1376,1376,押一付三,---
---,杭州,西湖区,翠苑三区,1室1厅,---,66,"(6, 16]",3860,3860,3860,3860,押一付三,---
---,杭州,西湖区,南都花园别墅,5室2厅,---,18,"(1, 11]",2130,2130,2130,2130,押一付三,---
---,杭州,西湖区,耀江文萃苑,1室1厅,---,104,"(10, 20]",6790,6790,6790,6790,押一付三,---
---,杭州,西湖区,翠苑逸景湾,1室1厅,---,55,"(5, 15]",5060,5060,5060,5060,押一付三,---
---,杭州,西湖区,翠苑五区,1室2厅,---,124,"(12, 22]",6230,6230,6230,6230,押一付三,---
---,杭州,西湖区,西溪路小区,1室1厅,---,57,"(5, 15]",3090,3090,3090,3090,押一付三,---
---,杭州,西湖区,文菁花苑,3室1厅,---,14,"(1, 11]",1963,1963,1963,1963,押一付三,---
---,杭州,西湖区,融创河滨之城二期,4室2厅,---,9,"(0, 10]",1646,1646,1646,1646,押一付三,---
---,杭州,西湖区,翠苑五区,4室3厅,---,8,"(0, 10]",2130,2130,2130,2130,押一付三,---
---,杭州,西湖区,西苑小区,3室1厅,---,13,"(1, 11]",2160,2160,2160,2160,押一付三,---
---,杭州,西湖区,西港白领公寓东区,1室0厅,---,51,"(5, 15]",2750,2750,2750,2750,押一付三,---
---,杭州,西湖区,信鸿花园北区,5室1厅,---,13,"(1, 11]",1560,1560,1560,1560,押一付三,---
---,杭州,西湖区,创美华彩国际,1室0厅,---,44,"(4, 14]",2590,2590,2590,2590,押一付三,---
---,杭州,西湖区,阳光花园,1室1厅,---,38,"(3, 13]",3630,3630,3630,3630,押一付三,---
---,杭州,西湖区,西溪锋尚苑,2室1厅,---,55,"(5, 15]",4560,4560,4560,4560,押一付三,---
---,杭州,西湖区,福鼎家园雨露苑,1室1厅,---,80,"(8, 18]",4750,4750,4750,4750,押一付三,---
---,杭州,西湖区,溪畔花园,1室1厅,---,73,"(7, 17]",5700,5700,5700,5700,押一付三,---
---,杭州,西湖区,莫干山路350号,3室1厅,---,12,"(1, 11]",1960,1960,1960,1960,押一付三,---
---,杭州,西湖区,惠润家园,7室2厅,---,12,"(1, 11]",1360,1360,1360,1360,押一付三,---
---,杭州,西湖区,古荡新村东区,1室1厅,---,52,"(5, 15]",3830,3830,3830,3830,押一付三,---
---,杭州,西湖区,E30中心,1室1厅,---,38,"(3, 13]",2730,2730,2730,2730,押一付三,---
---,杭州,西湖区,物华小区,1室1厅,---,70,"(7, 17]",3990,3990,3990,3990,押一付三,---
---,杭州,西湖区,奥克斯缔壹城,4室1厅,---,12,"(1, 11]",2060,2060,2060,2060,押一付三,---
---,杭州,西湖区,西城博司,1室0厅,---,44,"(4, 14]",2960,2960,2960,2960,押一付三,---
---,杭州,西湖区,紫金庭园,4室1厅,---,17,"(1, 11]",2160,2160,2160,2160,押一付三,---
---,杭州,西湖区,都市阳光和苑,1室1厅,---,96,"(9, 19]",6030,6030,6030,6030,押一付三,---
---,杭州,西湖区,府苑新村,3室1厅,---,11,"(1, 11]",1690,1690,1690,1690,押一付三,---
---,杭州,西湖区,融科瑷骊山,6室2厅,---,10,"(1, 11]",1290,1290,1290,1290,押一付三,---
---,杭州,西湖区,西城年华,4室1厅,---,8,"(0, 10]",1690,1690,1690,1690,押一付三,---
